epoch,train_loss,train_accuracy,val_loss,val_accuracy,val_macro_precision,val_macro_recall,val_macro_f1,val_f1_macro,epoch_time_seconds,learning_rate_current,is_best,best_val_acc_so_far,patience_counter
0,0.7424247366815612,0.775530081666292,0.24166041110912848,0.9216799091940976,0.8712757750853505,0.8851348222447011,0.8771275788337328,0.8771275788337328,456.3760459423065,0.001,1,0.9216799091940976,0
1,0.3587375361280619,0.8820521465497865,0.16908942709703217,0.9480703745743473,0.9136929166130932,0.9302004416382581,0.9211494096076667,0.9211494096076667,235.73942708969116,0.001,1,0.9480703745743473,0
2,0.3058386983048061,0.8988349441822132,0.15642604621528425,0.9543132803632236,0.9434373985298024,0.9208520938784487,0.9307918304709815,0.9307918304709815,207.49166989326477,0.001,1,0.9543132803632236,0
3,0.2694563541111718,0.910522963961939,0.1324029741113179,0.9592792281498297,0.9460566852079966,0.932502272043691,0.9380090313783609,0.9380090313783609,223.26425671577454,0.001,1,0.9592792281498297,0
4,0.24935997250871086,0.9176968607177642,0.12686003964839906,0.9624006810442679,0.9503764511497922,0.9330016097356721,0.9404462070231326,0.9404462070231326,227.1610291004181,0.001,1,0.9624006810442679,0
5,0.24227862020882898,0.9201505956394695,0.1340077007038795,0.9578603859250852,0.9459566133485087,0.9261732761692235,0.9348800839483937,0.9348800839483937,214.5564091205597,0.001,0,0.9624006810442679,1
6,0.23323827805439257,0.9235408706076271,0.1386178041231381,0.9587116912599319,0.9444074732309397,0.9342285950984389,0.9384988981894037,0.9384988981894037,228.30562019348145,0.001,0,0.9624006810442679,2
7,0.22542045158425136,0.9252453734921705,0.11115991844784809,0.9659477866061293,0.9579233311292463,0.9387274224470415,0.9475356770417687,0.9475356770417687,213.01230597496033,0.001,1,0.9659477866061293,0
8,0.21461741497983394,0.9296471117104967,0.12678768679615504,0.9642451759364359,0.9476406733265949,0.9452609472595362,0.9457752373803165,0.9457752373803165,227.48927283287048,0.001,0,0.9659477866061293,1
9,0.22406982358693273,0.9259946055293324,0.11529654702259659,0.9665153234960272,0.951315970892284,0.9450461865072773,0.9470493307196207,0.9470493307196207,210.24685072898865,0.001,1,0.9665153234960272,0
10,0.20888601898289605,0.931314152993182,0.10854166992485302,0.968927355278093,0.9604475396322498,0.9435106578733462,0.9517089488499768,0.9517089488499768,238.72647404670715,0.001,1,0.968927355278093,0
11,0.19981108452797364,0.934442196748333,0.10380581183656078,0.9706299659477866,0.9714469689798243,0.9394765468916929,0.9548207904872239,0.9548207904872239,234.57491874694824,0.001,1,0.9706299659477866,0
12,0.2062781659719193,0.9322132314377762,0.1109504348476553,0.9686435868331441,0.9693962041237878,0.9373409011163104,0.9526240820660777,0.9526240820660777,247.40014457702637,0.001,0,0.9706299659477866,1
13,0.20007026656393684,0.9344047351464748,0.10488217180861328,0.969211123723042,0.95901622688545,0.9478361228586235,0.9531696129350902,0.9531696129350902,221.53104615211487,0.001,0,0.9706299659477866,2
14,0.19015899846515755,0.9373829324941935,0.09499328410407558,0.9706299659477866,0.9580758953281983,0.9548197161212407,0.9561915744748335,0.9561915744748335,218.5848913192749,0.001,0,0.9706299659477866,3
15,0.19010853683661813,0.9370457780774706,0.0898218596409124,0.9723325766174802,0.9677144828186198,0.9466130786145913,0.9568720539077774,0.9568720539077774,198.24581241607666,0.001,1,0.9723325766174802,0
16,0.18245730220025566,0.9406982842586349,0.10695177874978432,0.9680760499432464,0.95739108653054,0.9443376767545647,0.9502536855194131,0.9502536855194131,191.59123873710632,0.001,0,0.9723325766174802,1
17,0.1834686800593016,0.9391061661796658,0.09778981683360656,0.97105561861521,0.9667852734424796,0.9443211844072251,0.9550817795009374,0.9550817795009374,210.20810651779175,0.001,0,0.9723325766174802,2
18,0.18314794576095714,0.940323668240054,0.09686868584630393,0.97105561861521,0.9695875238375491,0.9443927430535773,0.9562013144560503,0.9562013144560503,205.65932440757751,0.001,0,0.9723325766174802,3
19,0.180540135045297,0.9399865138233311,0.09663625598962454,0.968927355278093,0.9575081054891316,0.9521194612383764,0.9546428776295134,0.9546428776295134,187.55546140670776,0.001,0,0.9723325766174802,4
20,0.1765945632254362,0.9417659399115906,0.09675181560283347,0.9719069239500567,0.9648007205870618,0.9499533148258458,0.9569934294872415,0.9569934294872415,220.16679573059082,0.001,0,0.9723325766174802,5
21,0.17295922607578676,0.942290402337604,0.09981650443104514,0.9683598183881952,0.9555188382724192,0.9504062258336949,0.9525229883321545,0.9525229883321545,234.14931774139404,0.001,0,0.9723325766174802,6
22,0.18070529090987078,0.9400988986289054,0.09966760173226479,0.9697786606129398,0.9679785329298435,0.9442603387419958,0.9555984038749402,0.9555984038749402,224.3626103401184,0.001,0,0.9723325766174802,7
23,0.16963169150176705,0.9434142503933468,0.09105287757955881,0.9709137343927355,0.9618038357353599,0.9511967164617268,0.9561607564526282,0.9561607564526282,212.92099332809448,0.001,0,0.9723325766174802,8
