epoch,train_loss,train_accuracy,val_loss,val_accuracy,val_macro_precision,val_macro_recall,val_macro_f1,val_f1_macro,epoch_time_seconds,learning_rate_current,is_best,best_val_acc_so_far,patience_counter
0,0.38496845598439283,0.8756138496922982,0.2271052323032066,0.9269296254256527,0.8954927423705404,0.8929384386566405,0.886520885648075,0.886520885648075,309.35111355781555,0.001,1,0.9269296254256527,0
1,0.1753917579067467,0.946975818984273,0.27663517957211026,0.9120317820658342,0.8738143855931367,0.8893896863994416,0.8666487257867689,0.8666487257867689,196.59449410438538,0.001,0,0.9269296254256527,1
2,0.14493289797647824,0.9552744452042021,0.2838627452471267,0.9118898978433598,0.8662757630487571,0.9073946022345748,0.8749261563924469,0.8749261563924469,176.14488053321838,0.001,0,0.9269296254256527,2
3,0.11736385086845984,0.9643500963510909,0.1747935810522712,0.9530363223609535,0.9282731334126377,0.9339112305390241,0.9287021360273083,0.9287021360273083,68.24510884284973,0.001,1,0.9530363223609535,0
4,0.10777797656810076,0.967737925032635,0.17758060674329254,0.9501986379114642,0.9324745862322011,0.9264356308531346,0.9272742884845294,0.9272742884845294,52.17150115966797,0.001,0,0.9530363223609535,1
5,0.10600274964419533,0.9686392739479083,0.19409041664977444,0.9494892167990919,0.9298792903401795,0.9199980313147965,0.9224035467975699,0.9224035467975699,35.60291123390198,0.001,0,0.9530363223609535,2
6,0.1018032724697861,0.9697581898427301,0.12334974760043041,0.9641032917139614,0.9502343685566176,0.943241310782042,0.9456770676553311,0.9456770676553311,108.47136902809143,0.001,1,0.9641032917139614,0
7,0.08949277814164598,0.9729906135388823,0.16110054810917815,0.9550227014755959,0.9395806706758499,0.9311293534422146,0.9330315836752693,0.9330315836752693,137.43819284439087,0.001,0,0.9641032917139614,1
8,0.09074974484251219,0.973363585503823,0.16665799403852197,0.9511918274687855,0.9194615588075005,0.9516209403483679,0.9334777131643701,0.9334777131643701,151.3742709159851,0.001,0,0.9641032917139614,2
9,0.08290415253904028,0.9755703362963883,0.26650233135966517,0.9374290578887627,0.9171612300962241,0.8885148251133099,0.8856812691060606,0.8856812691060606,179.52485585212708,0.001,0,0.9641032917139614,3
10,0.07838415907714531,0.9773419531298564,0.18219566926598674,0.9475028376844495,0.9098327640012501,0.9489117452809288,0.9269437218501353,0.9269437218501353,248.672438621521,0.001,0,0.9641032917139614,4
11,0.07251349260785436,0.9789270839808542,0.14589146119526564,0.9614074914869466,0.9379895947370823,0.9452016284916605,0.9409701345086675,0.9409701345086675,261.3938524723053,0.001,0,0.9641032917139614,5
12,0.07730139420154326,0.9769379001678374,0.13206307203904671,0.9635357548240636,0.9470161476901345,0.9447191139105545,0.9451929274541463,0.9451929274541463,145.75967264175415,0.001,0,0.9641032917139614,6
13,0.07107856997733439,0.9780878970597376,0.13280965331757508,0.96183314415437,0.9370287554242571,0.9518910262488269,0.943590924191529,0.943590924191529,55.42265295982361,0.001,0,0.9641032917139614,7
14,0.06174896848003897,0.9818486977062224,0.1466363359537482,0.9599886492622021,0.9426676552236954,0.934517325376055,0.9379863019755409,0.9379863019755409,58.6388635635376,0.001,0,0.9641032917139614,8
