Experiment,Architecture,Model Name,Seeds,Seed List,Device,Device Name,Optimizer,LR,Dropout,Batch Size,N Mels,Balancing,SpecAugment,Freeze Backbone,Use Pretrained,Weight Decay,Patience,Epochs Configured,Total Params,Trainable Params,Train Size,Val Size,Test Size,Epochs Ran Mean,Best Epoch Mean,Train Time Mean (min),Train Time Std (min),Val Acc Mean,Val Acc Std,Val F1 Mean,Val F1 Std,Val Precision Mean,Val Recall Mean,Val Loss Mean,Test Acc Mean,Test Acc Std,Test F1 Mean,Test F1 Std,Test Precision Mean,Test Recall Mean,Test Loss Mean,Inference Latency Mean (ms)
ast_full_dropout_p03,AST,MIT/ast-finetuned-audioset-10-10-0.4593,4,42;123;2026;2137,cuda,NVIDIA GeForce RTX 5090,AdamW,5e-05,0.3,16,,none,,False,True,,,,86198028,86198028,,,,14.0,14.0,339.6535,146.6062,96.8324,0.4142,nan,nan,nan,nan,nan,97.2751,0.3516,87.8561,0.4889,nan,nan,nan,6.0982
ast_full_baseline,AST,MIT/ast-finetuned-audioset-10-10-0.4593,4,42;123;2026;2137,cuda,NVIDIA GeForce RTX 5090,AdamW,5e-05,0.1,16,,none,,False,True,,,,86198028,86198028,,,,12.5,12.5,312.4628,64.2523,96.6373,0.1157,nan,nan,nan,nan,nan,97.1836,0.0608,87.6794,0.0983,nan,nan,nan,6.0888
ast_full_balancing_undersample,AST,MIT/ast-finetuned-audioset-10-10-0.4593,4,42;123;2026;2137,cuda,NVIDIA GeForce RTX 5090,AdamW,5e-05,0.1,16,,undersample,,False,True,,,,86198028,86198028,,,,9.75,9.75,163.7327,36.0051,96.0982,0.2338,nan,nan,nan,nan,nan,96.8983,0.2011,87.2982,0.2578,nan,nan,nan,6.108
ast_full_balancing_loss,AST,MIT/ast-finetuned-audioset-10-10-0.4593,4,42;123;2026;2137,cuda,NVIDIA GeForce RTX 5090,AdamW,5e-05,0.1,16,,loss,,False,True,,,,86198028,86198028,,,,16.75,16.75,388.9663,251.8858,95.7045,0.9182,nan,nan,nan,nan,nan,96.2363,0.862,86.2392,1.235,nan,nan,nan,6.1003
ast_full_balancing_loss_undersample,AST,MIT/ast-finetuned-audioset-10-10-0.4593,4,42;123;2026;2137,cuda,NVIDIA GeForce RTX 5090,AdamW,5e-05,0.1,16,,loss+undersample,,False,True,,,,86198028,86198028,,,,12.75,12.75,197.2469,75.5582,95.2433,0.4,nan,nan,nan,nan,nan,95.8376,0.5682,85.7441,0.7639,nan,nan,nan,6.1062
ast_full_frozen_backbone,AST,MIT/ast-finetuned-audioset-10-10-0.4593,4,42;123;2026;2137,cuda,NVIDIA GeForce RTX 5090,AdamW,0.0001,0.1,16,,none,,True,True,,,,86198028,10764,,,,24.25,24.25,182.194,7.7849,76.394,0.2129,nan,nan,nan,nan,nan,74.5757,0.3447,48.7032,1.0414,nan,nan,nan,6.1083
mobilenetv2_full_specaugment,mobilenetv2,mobilenetv2,4,42;123;2026;2137,cuda,NVIDIA GeForce RTX 4050 Laptop GPU,adam,0.001,0.2,96,64,none,True,False,True,0.0001,8,40,2238668,2238668,53388,7048,6835,29.0,20.0,109.3695,18.8228,97.2616,0.0857,95.7821,0.2179,96.8742,94.7503,0.0943,97.6481,0.1322,96.367,0.2752,97.5084,95.3016,0.0777,1.5184
mobilenetv2_full_baseline,mobilenetv2,mobilenetv2,4,42;123;2026;2137,cuda,NVIDIA GeForce RTX 4050 Laptop GPU,adam,0.001,0.2,96,64,none,False,False,True,0.0001,8,40,2238668,2238668,53388,7048,6835,27.5,18.5,62.9743,11.5827,96.8573,0.1137,95.1617,0.1004,95.8298,94.5417,0.1175,97.2641,0.1215,95.819,0.2611,96.9822,94.7349,0.098,1.1088
resnet18_full_specaugment,resnet18,resnet18,4,42;123;2026;2137,cuda,NVIDIA GeForce RTX 4050 Laptop GPU,adam,0.001,0.1,64,64,none,True,False,True,0.0001,8,40,11176396,11176396,53388,7048,6835,31.25,22.25,61.1834,17.0862,97.6128,0.1123,96.3825,0.1385,97.1824,95.6316,0.0817,97.9078,0.1968,96.8742,0.3891,97.961,95.856,0.0705,1.0349
resnet18_full_optimizer_sgd,resnet18,resnet18,4,42;123;2026;2137,cuda,NVIDIA GeForce RTX 4050 Laptop GPU,sgd,0.01,0.1,64,64,none,False,False,True,0.0001,8,40,11176396,11176396,53388,7048,6835,18.75,9.75,75.3528,10.9592,97.0594,0.134,95.4396,0.2292,96.2013,94.7504,0.1354,97.5713,0.1422,96.2306,0.1997,97.4053,95.1247,0.1117,0.6017
